,_id,timestamp,device_id,activity_name,activity_type,confidence,activities
0,1,1411636927459.0,,tilting,5,100,"[{""activity"":""tilting"",""confidence"":100}]"
1,2,1411636928006.0,,unknown,4,60,"[{""activity"":""unknown"",""confidence"":60},{""activity"":""still"",""confidence"":35},{""activity"":""in_vehicle"",""confidence"":6}]"
2,3,1411636982636.0,,still,3,100,"[{""activity"":""still"",""confidence"":100}]"
3,4,1411637064971.0,,still,3,100,"[{""activity"":""still"",""confidence"":100}]"
4,5,1411637125055.0,,still,3,100,"[{""activity"":""still"",""confidence"":100}]"
5,6,1411637186150.0,,still,3,100,"[{""activity"":""still"",""confidence"":100}]"
6,7,1411637245193.0,,still,3,100,"[{""activity"":""still"",""confidence"":100}]"
7,8,1411637302952.0,,still,3,100,"[{""activity"":""still"",""confidence"":100}]"
8,9,1411637389576.0,,still,3,100,"[{""activity"":""still"",""confidence"":100}]"
9,10,1411637456443.0,,still,3,100,"[{""activity"":""still"",""confidence"":100}]"
10,11,1411637511199.0,,still,3,100,"[{""activity"":""still"",""confidence"":100}]"
11,12,1411637570736.0,,still,3,100,"[{""activity"":""still"",""confidence"":100}]"
12,13,1411637624033.0,,tilting,5,100,"[{""activity"":""tilting"",""confidence"":100}]"
13,14,1411637655546.0,,unknown,4,77,"[{""activity"":""unknown"",""confidence"":77},{""activity"":""in_vehicle"",""confidence"":17},{""activity"":""still"",""confidence"":4},{""activity"":""on_bicycle"",""confidence"":2}]"
14,15,1411637718290.0,,unknown,4,50,"[{""activity"":""unknown"",""confidence"":50},{""activity"":""on_bicycle"",""confidence"":17},{""activity"":""on_foot"",""confidence"":14},{""activity"":""in_vehicle"",""confidence"":5}]"
15,16,1411637791872.0,,on_foot,2,100,"[{""activity"":""on_foot"",""confidence"":100}]"
16,17,1411637899767.0,,on_foot,2,92,"[{""activity"":""on_foot"",""confidence"":92},{""activity"":""on_bicycle"",""confidence"":8}]"
17,18,1411637960243.0,,on_foot,2,100,"[{""activity"":""on_foot"",""confidence"":100}]"
18,19,1411638010888.0,,on_foot,2,100,"[{""activity"":""on_foot"",""confidence"":100}]"
19,20,1411638060780.0,,on_foot,2,85,"[{""activity"":""on_foot"",""confidence"":85},{""activity"":""on_bicycle"",""confidence"":15}]"
20,21,1411638113038.0,,on_foot,2,92,"[{""activity"":""on_foot"",""confidence"":92},{""activity"":""on_bicycle"",""confidence"":8}]"
21,22,1411638171529.0,,on_foot,2,100,"[{""activity"":""on_foot"",""confidence"":100}]"
22,23,1411638232719.0,,on_foot,2,100,"[{""activity"":""on_foot"",""confidence"":100}]"
23,24,1411638325319.0,,unknown,4,58,"[{""activity"":""unknown"",""confidence"":58},{""activity"":""in_vehicle"",""confidence"":39},{""activity"":""on_bicycle"",""confidence"":2},{""activity"":""still"",""confidence"":2}]"
24,25,1411638392977.0,,on_foot,2,97,"[{""activity"":""on_foot"",""confidence"":97},{""activity"":""on_bicycle"",""confidence"":3}]"
25,26,1411638448349.0,,on_foot,2,100,"[{""activity"":""on_foot"",""confidence"":100}]"
26,27,1411638497672.0,,on_foot,2,100,"[{""activity"":""on_foot"",""confidence"":100}]"
27,28,1411638558327.0,,on_foot,2,100,"[{""activity"":""on_foot"",""confidence"":100}]"
28,29,1411638608876.0,,on_foot,2,100,"[{""activity"":""on_foot"",""confidence"":100}]"
29,30,1411638664830.0,,on_foot,2,92,"[{""activity"":""on_foot"",""confidence"":92},{""activity"":""on_bicycle"",""confidence"":8}]"
30,31,1411638714718.0,,on_foot,2,85,"[{""activity"":""on_foot"",""confidence"":85},{""activity"":""on_bicycle"",""confidence"":15}]"
31,32,1411638774993.0,,on_foot,2,100,"[{""activity"":""on_foot"",""confidence"":100}]"
32,33,1411638826896.0,,on_foot,2,92,"[{""activity"":""on_foot"",""confidence"":92},{""activity"":""on_bicycle"",""confidence"":8}]"
33,34,1411638888110.0,,on_foot,2,77,"[{""activity"":""on_foot"",""confidence"":77},{""activity"":""unknown"",""confidence"":15},{""activity"":""on_bicycle"",""confidence"":8}]"
34,35,1411638949966.0,,tilting,5,100,"[{""activity"":""tilting"",""confidence"":100}]"
35,36,1411638976271.0,,still,3,83,"[{""activity"":""still"",""confidence"":83},{""activity"":""unknown"",""confidence"":16},{""activity"":""in_vehicle"",""confidence"":2}]"
36,37,1411639021255.0,,still,3,100,"[{""activity"":""still"",""confidence"":100}]"
